product_id,name,category,price,rating,description
1,Samsung Galaxy M34 5G,Mobile,18999,4.2,"6000mAh battery, 50MP camera, 5G enabled"
2,OnePlus Nord CE3,Mobile,24999,4.3,"Fast charging, AMOLED display, smooth performance"
3,iPhone 13,Mobile,54999,4.5,"A15 Bionic chip, dual camera, iOS ecosystem"
4,HP Pavilion Gaming Laptop,Laptop,65999,4.1,"RTX 3050, Intel i5, 8GB RAM, 512GB SSD"
5,Dell Inspiron 15,Laptop,45999,4.0,"Intel i5, 8GB RAM, 256GB SSD, Windows 11"
6,Lenovo IdeaPad Gaming 3,Laptop,52999,4.2,"Ryzen 5, GTX 1650, 16GB RAM, 512GB SSD"
7,Sony WH-1000XM4,Headphones,24999,4.6,"Noise cancelling, 30hr battery, premium sound"
8,boAt Rockerz 450,Headphones,1499,4.1,"Bluetooth 5.0, 15hr battery, bass heavy"
9,Samsung 55 inch 4K TV,Television,42999,4.3,"Crystal 4K, HDR, Smart TV, Alexa built-in"
10,Mi 43 inch Android TV,Television,24999,4.0,"Full HD, Android 11, Chromecast built-in"
11,Nike Air Max 270,Shoes,8999,4.4,"Lightweight, Air cushioning, stylish design"
12,Puma RS-X,Shoes,6999,4.2,"Retro design, chunky sole, comfortable fit"
13,Whirlpool 1.5 Ton AC,AC,32999,4.1,"5 star rating, inverter technology, fast cooling"
14,Voltas 1 Ton AC,AC,28999,4.0,"3 star, split AC, energy efficient"
15,Prestige Induction Cooktop,Kitchen,2499,4.3,"1600W, multiple modes, auto shutoff"
